date,period_3class,period_binary,loop_ratio,total_plays,unique_tracks,unique_artists,tracks_per_play,avg_ms_played,median_ms_played,std_ms_played,total_listening_minutes,night_play_ratio,morning_play_ratio,afternoon_play_ratio,evening_play_ratio,peak_hour,hour_entropy,day_of_week_num,is_weekend
2025-09-15,regular,regular,0.13333333333333333,15,13,13,0.8666666666666667,154298.8,161946.0,62859.22717492295,38.5747,0.0,0.4666666666666667,0.4666666666666667,0.06666666666666667,11,2.389898096167291,0,0
2025-09-16,regular,regular,0.15789473684210525,38,32,24,0.8421052631578947,183578.26315789475,176370.0,75740.18952284119,116.26623333333333,0.0,0.18421052631578946,0.42105263157894735,0.39473684210526316,20,2.08564115248644,1,0
2025-09-17,regular,regular,0.4126984126984127,63,37,27,0.5873015873015873,201604.82539682538,212778.0,76091.27827654983,211.68506666666667,0.0,0.15873015873015872,0.47619047619047616,0.36507936507936506,18,2.993373764041036,2,0
2025-09-18,regular,regular,0.05263157894736842,19,18,17,0.9473684210526315,135258.68421052632,144890.0,60969.92434895224,42.831916666666665,0.0,0.42105263157894735,0.5789473684210527,0.0,12,2.4187229087328608,3,0
2025-09-19,regular,regular,0.0945945945945946,74,67,39,0.9054054054054054,166362.7162162162,173505.5,75884.28162191776,205.18068333333332,0.0,0.25675675675675674,0.40540540540540543,0.33783783783783783,14,2.909878101511971,4,0
2025-09-20,regular,regular,0.0625,16,15,9,0.9375,165452.625,187372.0,95682.5019536836,44.1207,0.0,0.625,0.0,0.375,8,1.6774212846248309,5,1
2025-09-21,regular,regular,0.15789473684210525,19,16,9,0.8421052631578947,210861.31578947368,209860.0,75063.83707888804,66.77275,0.0,0.7368421052631579,0.2631578947368421,0.0,10,1.2949950755217976,6,1
2025-09-22,regular,regular,0.07692307692307693,26,24,22,0.9230769230769231,175496.88461538462,160279.0,72453.57735892793,76.04865,0.0,0.0,0.8461538461538461,0.15384615384615385,17,1.7381493339864842,0,0
2025-09-23,regular,regular,0.044444444444444446,45,43,40,0.9555555555555556,194823.66666666666,206053.0,65158.29794082605,146.11775,0.0,0.28888888888888886,0.6888888888888889,0.022222222222222223,13,2.433210399766674,1,0
2025-09-24,regular,regular,0.06896551724137931,29,27,22,0.9310344827586207,149990.10344827586,142313.0,56597.7450423758,72.49521666666666,0.0,0.06896551724137931,0.896551724137931,0.034482758620689655,12,2.383891135007023,2,0
2025-09-25,regular,regular,0.10526315789473684,38,34,27,0.8947368421052632,184601.44736842104,194855.5,67293.34625222228,116.91425,0.05263157894736842,0.3157894736842105,0.02631578947368421,0.6052631578947368,20,2.3469099909982467,3,0
2025-09-26,regular,regular,0.22522522522522523,111,86,60,0.7747747747747747,164783.9099099099,179674.0,80400.34339213751,304.85023333333334,0.0,0.14414414414414414,0.6756756756756757,0.18018018018018017,17,2.99514936479242,4,0
2025-09-27,regular,regular,0.20212765957446807,94,75,47,0.7978723404255319,205113.43617021278,209269.0,67143.28615561985,321.3443833333333,0.0,0.24468085106382978,0.3617021276595745,0.39361702127659576,19,3.2713746911309496,5,1
2025-09-28,regular,regular,0.03333333333333333,30,29,28,0.9666666666666667,165860.73333333334,163661.0,74626.47918105824,82.93036666666667,0.0,0.1,0.9,0.0,16,1.9282823817826527,6,1
2025-09-29,regular,regular,0.3333333333333333,24,16,13,0.6666666666666666,164026.70833333334,160676.5,78679.60928346167,65.61068333333333,0.5,0.125,0.16666666666666666,0.20833333333333334,5,2.419372149260932,0,0
2025-09-30,regular,regular,0.14285714285714285,21,18,16,0.8571428571428571,177143.14285714287,170091.0,76009.04062957624,62.0001,0.0,0.2857142857142857,0.6190476190476191,0.09523809523809523,14,2.7918583531871892,1,0
2025-10-01,regular,regular,0.0,12,12,11,1.0,163896.66666666666,184130.0,81271.7219202275,32.779333333333334,0.16666666666666666,0.5,0.08333333333333333,0.25,7,1.9591479177783757,2,0
2025-10-02,regular,regular,0.16666666666666666,24,20,18,0.8333333333333334,115109.70833333333,76525.0,87812.8415430668,46.04388333333333,0.0,0.5,0.5,0.0,16,2.231612256559824,3,0
2025-10-03,regular,regular,0.09523809523809523,42,38,32,0.9047619047619048,168305.02380952382,163479.0,83865.1817486323,117.81351666666667,0.16666666666666666,0.35714285714285715,0.4523809523809524,0.023809523809523808,11,2.9171924953071353,4,0
2025-10-04,regular,regular,0.0,34,34,24,1.0,147630.4411764706,138193.5,54754.465305215715,83.65725,0.0,0.20588235294117646,0.7352941176470589,0.058823529411764705,16,1.8873719633105632,5,1
2025-10-05,regular,regular,0.0958904109589041,73,66,41,0.9041095890410958,207771.24657534246,208803.0,70348.05352372759,252.78835,0.0,0.4657534246575342,0.4520547945205479,0.0821917808219178,15,3.071202367267703,6,1
2025-10-06,regular,regular,0.27586206896551724,29,21,21,0.7241379310344828,195281.7931034483,212778.0,70127.95027273837,94.3862,0.034482758620689655,0.13793103448275862,0.7241379310344828,0.10344827586206896,14,2.3213077954754637,0,0
2025-10-07,regular,regular,0.08333333333333333,12,11,10,0.9166666666666666,170680.83333333334,194355.0,83446.00921753737,34.13616666666667,0.25,0.3333333333333333,0.3333333333333333,0.08333333333333333,8,2.1258145844404575,1,0
2025-10-08,regular,regular,0.4074074074074074,54,32,22,0.5925925925925926,170518.07407407407,164000.0,70081.81060970124,153.46626666666666,0.0,0.37037037037037035,0.5185185185185185,0.1111111111111111,17,2.8302145346887233,2,0
2025-10-09,regular,regular,0.0,12,12,11,1.0,118961.16666666667,96298.5,70091.1942982249,23.792233333333332,0.0,1.0,0.0,0.0,8,1.2806721303635207,3,0
2025-10-10,regular,regular,0.04878048780487805,41,39,32,0.9512195121951219,172324.60975609755,182088.0,82372.77465063261,117.75515,0.12195121951219512,0.0975609756097561,0.36585365853658536,0.4146341463414634,18,2.422461848478241,4,0
2025-10-11,regular,regular,0.047619047619047616,21,20,13,0.9523809523809523,166559.90476190476,178206.0,49246.68380906958,58.295966666666665,0.0,0.7142857142857143,0.2857142857142857,0.0,10,1.3012407862877886,5,1
2025-10-12,regular,regular,0.0,8,8,8,1.0,162722.625,163933.0,79569.00147479813,21.69635,0.0,0.0,0.0,1.0,21,0.5435644440984718,6,1
2025-10-13,regular,regular,0.1111111111111111,9,8,8,0.8888888888888888,136367.55555555556,146827.0,66559.17709848715,20.455133333333333,0.0,0.6666666666666666,0.0,0.3333333333333333,8,2.197159724168493,0,0
2025-10-14,regular,regular,0.013888888888888888,72,71,43,0.9861111111111112,187459.09722222222,189486.5,70096.79830167243,224.95091666666667,0.0,0.1527777777777778,0.3194444444444444,0.5277777777777778,20,2.6812245610991643,1,0
2025-10-15,regular,regular,0.0625,16,15,12,0.9375,175798.25,191971.5,76661.13494289876,46.879533333333335,0.0625,0.0625,0.4375,0.4375,15,2.0612781251719974,2,0
2025-10-16,regular,regular,0.03333333333333333,30,29,17,0.9666666666666667,220655.86666666667,237474.5,104386.75597581346,110.32793333333333,0.0,0.0,0.06666666666666667,0.9333333333333333,19,1.6183203717327228,3,0
2025-10-17,regular,regular,0.0,7,7,5,1.0,180101.85714285713,184597.0,75381.41288016246,21.011883333333333,0.2857142857142857,0.14285714285714285,0.0,0.5714285714285714,6,1.9502120657022877,4,0
2025-10-18,regular,regular,0.3333333333333333,30,20,20,0.6666666666666666,105228.4,100264.0,62902.79807525697,52.6142,0.16666666666666666,0.6,0.23333333333333334,0.0,11,2.8430190308283527,5,1
2025-10-19,regular,regular,0.0,5,5,5,1.0,121038.4,92800.0,82469.41691196804,10.086533333333334,0.0,1.0,0.0,0.0,7,0.7219280957814082,6,1
2025-10-20,regular,regular,0.09302325581395349,43,39,29,0.9069767441860465,178600.18604651163,170919.0,74228.61746153081,127.9968,0.0,0.37209302325581395,0.5348837209302325,0.09302325581395349,13,2.0923520475937254,0,0
2025-10-21,regular,regular,0.07692307692307693,26,24,18,0.9230769230769231,140692.07692307694,138865.0,59621.60272312249,60.966566666666665,0.0,0.038461538461538464,0.9615384615384616,0.0,14,1.3491826440577614,1,0
2025-10-22,regular,regular,0.25,20,15,12,0.75,139307.2,127415.0,79181.6439457902,46.43573333333333,0.0,0.0,0.75,0.25,15,2.5709505951166634,2,0
2025-10-23,regular,regular,0.16666666666666666,6,5,5,0.8333333333333334,113412.33333333333,100152.5,81560.31755373851,11.341233333333333,0.0,0.0,0.6666666666666666,0.3333333333333333,15,2.251629168130519,3,0
2025-10-24,regular,regular,0.0,14,14,11,1.0,169598.0,167258.0,81407.43273190723,39.57286666666667,0.0,0.5,0.42857142857142855,0.07142857142857142,13,1.7884504581005427,4,0
2025-10-25,regular,regular,0.2727272727272727,11,8,8,0.7272727272727273,133770.27272727274,107302.0,71136.83659692903,24.52455,0.0,0.7272727272727273,0.2727272727272727,0.0,11,2.0403733944373132,5,1
2025-10-26,regular,regular,0.04,25,24,18,0.96,200137.68,222866.0,70974.26516216988,83.3907,0.0,0.24,0.4,0.36,16,2.0401128333319445,6,1
2025-10-27,regular,regular,0.09090909090909091,66,60,35,0.9090909090909091,161491.45454545456,167572.5,62679.8690696639,177.6406,0.0,0.24242424242424243,0.30303030303030304,0.45454545454545453,20,3.1451312082826735,0,0
